,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
737084,for_sale,285000,2,1,,"225-08 Stronghurst Ave Unit Upper, Queens Village, NY, 11427",225-08 Stronghurst Ave,Queens Village,New York,11427,,
906960,for_sale,1298000,5,5,1.18,"143 Midland Ave, Tarrytown, NY, 10591",143 Midland Ave,Tarrytown,New York,10591,4556,
844971,for_sale,600000,1,1,,"429 W 24th St Apt 2A, New York, NY, 10011",429 W 24th St,New York,New York,10011,650,10/31/07
736058,for_sale,1695000,2,3,0.04,"182-34 Hillside Ave, Jamaica, NY, 11432",182-34 Hillside Ave,Jamaica,New York,11432,,9/22/17
489614,for_sale,995000,5,3,0.06,"66-32 52DR, Maspeth, NY, 11378",66-32 52DR,Maspeth,New York,11378,2000,
870796,for_sale,1650000,1,2,,"935 Pacific St Apt 103, New York, NY, 11238",935 Pacific St,New York,New York,11238,1331,7/9/09
816080,for_sale,595000,,1,,"55 Wall St Apt 708, New York, NY, 10005",55 Wall St,New York,New York,10005,659,1/17/08
565785,for_sale,365000,2,2,,"3636 Greystone Ave Apt 6L, Bronx, NY, 10463",3636 Greystone Ave,Bronx,New York,10463,1100,1/14/08
797945,for_sale,640000,,1,,"210 E 15th St Apt 4K, New York City, NY, 10003",210 E 15th St,New York City,New York,10003,600,8/16/16
910974,for_sale,1199000,1,1,,"200 Central Park S Apt 3F, New York, NY, 10019",200 Central Park S,New York,New York,10019,,5/6/14
539700,for_sale,3550000,3,2,,"429 Greenwich St Apt 2A, New York, NY, 10013",429 Greenwich St,New York,New York,10013,2292,1/7/09
888338,for_sale,1350000,1,2,,"135 W 70th St Apt 9H, New York, NY, 10023",135 W 70th St,New York,New York,10023,900,6/17/99
791755,for_sale,228000,,1,,"99-21 67 Rd Unit 6K, Forest Hills, NY, 11375",99-21 67 Rd,Forest Hills,New York,11375,,6/25/08
513875,for_sale,2425000,6,7,,"912 St Nicholas Ave, New York City, NY, 10032",912 St Nicholas Ave,New York City,New York,10032,4000,3/22/18
841648,for_sale,950000,6,2,0.07,"169 Jamaica Ave, Brooklyn, NY, 11207",169 Jamaica Ave,Brooklyn,New York,11207,,1/10/18
570919,for_sale,769999,7,3,0.05,"1508 E 222nd St, Bronx, NY, 10469",1508 E 222nd St,Bronx,New York,10469,3150,5/5/15
915585,for_sale,159000,1,1,,"89-00 170th St Unit 8G, Jamaica, NY, 11432",89-00 170th St,Jamaica,New York,11432,895,4/29/11
868875,for_sale,3750000,4,4,,"530 E 76th St Apt 34E, New York, NY, 10021",530 E 76th St,New York,New York,10021,,
906815,for_sale,170000,1,1,,"838 Pelhamdale Ave Apt 2B, New Rochelle, NY, 10801",838 Pelhamdale Ave,New Rochelle,New York,10801,725,
735276,for_sale,550000,1,1,,"136 E 36th St Apt 6F, New York, NY, 10016",136 E 36th St,New York,New York,10016,,8/29/12
875058,for_sale,379000,2,1,,"204-15 35 Ave Unit Upper, Bayside, NY, 11361",204-15 35 Ave,Bayside,New York,11361,,3/18/16
808421,for_sale,338000,2,1,,"83-84 116 St Unit 1D, Kew Gardens, NY, 11418",83-84 116 St,Kew Gardens,New York,11418,,6/30/05
829340,for_sale,649000,3,2,0.05,"112-32 197th St, Saint Albans, NY, 11412",112-32 197th St,Saint Albans,New York,11412,1224,9/26/18
506505,for_sale,1198999,5,4,0.13,"Staten Island, NY, 10314",,Staten Island,New York,10314,2176,7/19/07
732863,for_sale,1325000,2,2,,"357 W 29th St Apt 1A, New York, NY, 10001",357 W 29th St,New York,New York,10001,,2/24/11
466600,for_sale,825000,1,1,,"21 S Portland Ave Apt 4R, New York, NY, 11217",21 S Portland Ave,New York,New York,11217,,9/19/11
799141,for_sale,1579000,4,2,0.21,"150-21 8th Ave, Whitestone, NY, 11357",150-21 8th Ave,Whitestone,New York,11357,1950,
909415,for_sale,3650000,6,8,3.39,"6 Sterling Rd S, Armonk, NY, 10504",6 Sterling Rd S,Armonk,New York,10504,7584,2/28/01
837213,for_sale,975000,1,1,,"110 Livingston St Apt 12Q, New York City, NY, 11201",110 Livingston St,New York City,New York,11201,734,3/22/16
758335,for_sale,489999,3,3,,"1031 E 86th St Apt 3, Brooklyn, NY, 11236",1031 E 86th St,Brooklyn,New York,11236,1898,9/27/04
571939,for_sale,159000,1,1,,"4 Sadore Ln Apt 1Z, Yonkers, NY, 10710",4 Sadore Ln,Yonkers,New York,10710,750,
534109,for_sale,850000,5,4,0.34,"15 Renfrew Rd, Chestnut Ridge, NY, 10977",15 Renfrew Rd,Chestnut Ridge,New York,10977,1717,7/10/15
510699,for_sale,1168000,4,3,0.04,"1653 Bay Ridge Pkwy, Brooklyn, NY, 11204",1653 Bay Ridge Pkwy,Brooklyn,New York,11204,1584,7/7/04
740708,for_sale,2350000,3,2,,"305 3rd St Apt 1G, New York, NY, 11215",305 3rd St,New York,New York,11215,2298,10/27/05
805197,for_sale,299000,2,1,,"139-15 83rd Ave Unit 503, Jamaica, NY, 11435",139-15 83rd Ave,Jamaica,New York,11435,900,
836717,for_sale,649000,1,2,,"50 Sutton Pl S Apt 2D, New York, NY, 10022",50 Sutton Pl S,New York,New York,10022,1085,8/15/11
895523,for_sale,555000,2,1,,"134 W 82nd St Apt 3C, New York City, NY, 10024",134 W 82nd St,New York City,New York,10024,,6/12/19
816319,for_sale,235000,,1,,"63-89 Saunders St Unit 5J, Rego Park, NY, 11374",63-89 Saunders St,Rego Park,New York,11374,,
774050,for_sale,715000,2,2,,"575 Main St Apt 103, New York, NY, 10044",575 Main St,New York,New York,10044,1053,
832285,for_sale,465000,2,1,,"110-45 71st Rd Unit 5H, Forest Hills, NY, 11375",110-45 71st Rd,Forest Hills,New York,11375,,6/21/21
775845,for_sale,849000,4,3,0.05,"790 Elton St, Brooklyn, NY, 11208",790 Elton St,Brooklyn,New York,11208,2184,
790578,for_sale,2250000,2,2,,"45 E 30th St Apt 14A, New York City, NY, 10016",45 E 30th St,New York City,New York,10016,1303,3/7/12
841620,for_sale,4250000,20,15,,"40-47 77th St, Queens, NY, 11373",40-47 77th St,Queens,New York,11373,7968,
873332,for_sale,850000,5,3,0.06,"38-11 104th St, Corona, NY, 11368",38-11 104th St,Corona,New York,11368,,
814711,for_sale,1450000,1,1,,"238 E 3rd St Apt 1D, Manhattan, NY, 10009",238 E 3rd St,Manhattan,New York,10009,816,
859859,for_sale,449000,2,1,,"68-31 Bell Blvd Unit Duplex, Bayside, NY, 11364",68-31 Bell Blvd,Bayside,New York,11364,,
845052,for_sale,6250000,7,7,,"330 Convent Ave, New York City, NY, 10031",330 Convent Ave,New York City,New York,10031,6400,6/12/06
922714,for_sale,90000,3,2,0.11,"16 Bivona Ln, New Windsor, NY, 12553",16 Bivona Ln,New Windsor,New York,12553,1200,
812342,for_sale,2299999,2,3,,"401 Hicks St Unit A1D, Brooklyn, NY, 11201",401 Hicks St,Brooklyn,New York,11201,1907,
794197,for_sale,4150000,2,3,,"24 Central Park S Unit 9W, New York, NY, 10019",24 Central Park S,New York,New York,10019,,3/22/07
813362,for_sale,710000,2,2,,"Beechhurst, NY, 11357",,Beechhurst,New York,11357,,12/28/15
913740,for_sale,999000,1,1,,"100 Riverside Blvd Apt 10T, New York City, NY, 10069",100 Riverside Blvd,New York City,New York,10069,760,9/7/13
812305,for_sale,1899000,2,2,,"167 E 61st St Apt 27A, New York, NY, 10065",167 E 61st St,New York,New York,10065,1400,3/4/05
486892,for_sale,139500,1,1,0.02,"2081 Cruger Ave, Bronx, NY, 10462",2081 Cruger Ave,Bronx,New York,10462,,
890988,for_sale,1400000,1,1,,"1 Irving Pl Apt U9C, Manhattan, NY, 10003",1 Irving Pl,Manhattan,New York,10003,670,2/11/97
803153,for_sale,895000,4,2,0.06,"138-40 63 Ave, Flushing, NY, 11367",138-40 63 Ave,Flushing,New York,11367,1300,
780664,for_sale,875000,5,2,0.06,"30-51 87th St, East Elmhurst, NY, 11369",30-51 87th St,East Elmhurst,New York,11369,1608,
749608,for_sale,849000,3,2,0.04,"3205 Avenue R, Brooklyn, NY, 11234",3205 Avenue R,Brooklyn,New York,11234,1432,9/6/91
876555,for_sale,1399000,4,3,0.11,"16004 81st St, Howard Beach, NY, 11414",16004 81st St,Howard Beach,New York,11414,2942,1/18/13
