,status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
838094,for_sale,149000.0,,1.0,,"84-01 Main St Unit 108, Briarwood, NY, 11435",84-01 Main St Unit 108,Briarwood,New York,11435.0,420.0,
784339,for_sale,330000.0,,1.0,,"70-20 108th St Unit 15J, Forest Hills, NY, 11375",70-20 108th St Unit 15J,Forest Hills,New York,11375.0,,2017-02-08
859226,for_sale,659000.0,3.0,2.0,,"75-34 Bell Blvd Unit 1E, Bayside, NY, 11364",75-34 Bell Blvd Unit 1E,Bayside,New York,11364.0,1450.0,2013-01-25
496139,for_sale,1549000.0,6.0,4.0,0.09,"64 Bay 23rd St, Brooklyn, NY, 11214",64 Bay 23rd St,Brooklyn,New York,11214.0,2208.0,1984-01-01
907398,for_sale,1800000.0,4.0,5.0,2.27,"83 Harriman Rd, Irvington, NY, 10533",83 Harriman Rd,Irvington,New York,10533.0,4018.0,2006-01-23
557748,for_sale,895000.0,3.0,2.0,2.1,"41-25 Kissena Blvd Unit 3M, Flushing, NY, 11355",41-25 Kissena Blvd Unit 3M,Flushing,New York,11355.0,1191.0,1995-07-26
882942,for_sale,279000.0,,1.0,,"415 E 82nd St Apt 3B, New York, NY, 10028",415 E 82nd St Apt 3B,New York,New York,10028.0,,2004-08-11
506192,for_sale,749000.0,2.0,1.0,,"577 Grand St Apt F805, New York City, NY, 10002",577 Grand St Apt F805,New York City,New York,10002.0,1000.0,
807356,for_sale,1149000.0,1.0,1.0,,"635 W 42nd St Apt 10F, New York City, NY, 10036",635 W 42nd St Apt 10F,New York City,New York,10036.0,758.0,2007-08-30
717098,for_sale,760000.0,1.0,1.0,,"77 Fulton St Apt 16B, New York City, NY, 10038",77 Fulton St Apt 16B,New York City,New York,10038.0,,
894717,for_sale,569000.0,3.0,2.0,100.0,"111-93 180th St Unit 103040080, Addisleigh Park, NY, 11433",111-93 180th St Unit 103040080,Addisleigh Park,New York,11433.0,1550.0,
839020,for_sale,599000.0,1.0,1.0,,"137 E 36th St Unit 15H, New York City, NY, 10016",137 E 36th St Unit 15H,New York City,New York,10016.0,,2015-12-30
850719,for_sale,1250000.0,2.0,2.0,,"122 West St Apt 1F, New York, NY, 11222",122 West St Apt 1F,New York,New York,11222.0,966.0,2011-10-25
515653,for_sale,639000.0,1.0,1.0,,"1238 63rd St Unit D403, Brooklyn, NY, 11219",1238 63rd St Unit D403,Brooklyn,New York,11219.0,630.0,
913563,for_sale,415000.0,3.0,1.0,0.02,"4161 Laconia Ave, Bronx, NY, 10466",4161 Laconia Ave,Bronx,New York,10466.0,,1998-12-01
817025,for_sale,2795000.0,3.0,2.0,,"285 W 110th St Apt 7D, New York, NY, 10026",285 W 110th St Apt 7D,New York,New York,10026.0,1614.0,
775593,for_sale,1999999.0,6.0,4.0,0.04,"388 Monroe St, Bed Stuy, NY, 11221",388 Monroe St,Bed Stuy,New York,11221.0,3225.0,
843868,for_sale,545000.0,4.0,3.0,0.07,"63 Elissa Ln, Yonkers, NY, 10710",63 Elissa Ln,Yonkers,New York,10710.0,1620.0,
855754,for_sale,1950000.0,2.0,2.0,,"201 E 80th St Apt 11E, New York, NY, 10075",201 E 80th St Apt 11E,New York,New York,10075.0,1234.0,2013-07-24
574430,for_sale,310000.0,1.0,1.0,,"4465 Douglas Ave Unit 8M, Bronx, NY, 10463",4465 Douglas Ave Unit 8M,Bronx,New York,10463.0,750.0,2017-10-10
837126,for_sale,1595000.0,2.0,2.0,,"256 N 9th St Unit 2A, Brooklyn, NY, 11211",256 N 9th St Unit 2A,Brooklyn,New York,11211.0,1016.0,
722037,for_sale,439000.0,3.0,2.0,0.07,"250 Gordon St, Staten Island, NY, 10304",250 Gordon St,Staten Island,New York,10304.0,1164.0,2007-06-20
791380,for_sale,2300000.0,3.0,4.0,0.03,"291 22nd St, New York City, NY, 11215",291 22nd St,New York City,New York,11215.0,1964.0,2019-04-10
815303,for_sale,749900.0,3.0,3.0,0.06,"46 Garden St, Staten Island, NY, 10314",46 Garden St,Staten Island,New York,10314.0,1350.0,2000-06-28
738983,for_sale,695000.0,1.0,1.0,,"403 E 62nd St Apt 5A, New York, NY, 10065",403 E 62nd St Apt 5A,New York,New York,10065.0,500.0,2011-02-10
872706,for_sale,4500000.0,1.0,,,"129 Russell St Unit Commercial, Brooklyn, NY, 11222",129 Russell St Unit Commercial,Brooklyn,New York,11222.0,5400.0,
814814,for_sale,749000.0,2.0,1.0,,"440 E 56th St Unit 7B, New York, NY, 10022",440 E 56th St Unit 7B,New York,New York,10022.0,,2019-12-11
768787,for_sale,525000.0,,1.0,,"140 E 28th St Apt 1J, New York, NY, 10016",140 E 28th St Apt 1J,New York,New York,10016.0,590.0,2016-03-08
900271,for_sale,420000.0,2.0,1.0,,"1405 Prospect Pl Apt B1, New York City, NY, 11213",1405 Prospect Pl Apt B1,New York City,New York,11213.0,,
802494,for_sale,874000.0,1.0,1.0,,"196 E 75th St Unit 19BB, Manhattan, NY, 10021",196 E 75th St Unit 19BB,Manhattan,New York,10021.0,,
495578,for_sale,515000.0,3.0,2.0,0.05,"40 Neutral Ave, Staten Island, NY, 10306",40 Neutral Ave,Staten Island,New York,10306.0,1148.0,2003-10-29
833224,for_sale,1450000.0,2.0,2.0,,"80 John St Apt 16A, New York City, NY, 10038",80 John St Apt 16A,New York City,New York,10038.0,1179.0,2008-05-30
498397,for_sale,1995000.0,2.0,2.0,,"15 William St Apt 30A, New York City, NY, 10005",15 William St Apt 30A,New York City,New York,10005.0,1325.0,2009-10-22
753066,for_sale,1630000.0,1.0,1.0,,"252 South St Unit 60L, New York, NY, 10002",252 South St Unit 60L,New York,New York,10002.0,709.0,
875855,for_sale,1750000.0,2.0,2.0,,"580 Carroll St Apt 3C, Brooklyn, NY, 11215",580 Carroll St Apt 3C,Brooklyn,New York,11215.0,1270.0,2013-01-10
